1920-04-20,270316,134.011,0,4
1920-04-23,254764,130.003,0,1
1920-05-13,318747,115.052,0,0
1920-05-16,229695,110.105,0,1
1920-06-26,180000,127.952,0,11
1920-07-04,214400,150.028,0,7
1920-07-05,220611,80.992,0,8
1920-07-08,146840,130.06,0,8
1920-07-08,148720,133.515,0,9
1920-07-08,152067,132.753,0,0
1920-07-08,152333,67.51,0,11
1920-07-08,154493,134.103,0,11
1920-07-08,155467,83.983,0,8
1920-07-08,156040,170.943,0,0
1920-07-08,166000,168.649,0,10
1920-07-08,167213,131.494,0,10
1920-07-08,168293,129.558,0,7
1920-07-08,170373,130.572,0,8
1920-07-08,177427,136.573,0,1
1920-07-08,177907,128.0,0,2
1920-07-08,178947,122.839,0,1
1920-07-08,185707,119.965,0,1
1920-07-08,187147,126.485,0,2
1920-07-08,187200,127.076,0,2
1920-07-08,194013,66.659,0,3
1920-07-08,204653,169.061,0,4
1920-07-12,111125,167.501,0,11
1920-08-04,77477,81.015,0,10
1920-08-28,127442,123.984,0,11
1920-09-07,102621,145.009,0,11
1920-09-24,148941,124.968,0,0
1920-09-24,239000,180.057,0,7
1920-10-01,165224,122.076,2,10
1920-10-18,324429,77.498,0,6
1920-10-22,81894,106.717,0,8
1920-10-24,186750,160.136,0,4
1920-11-23,20167,80.428,0,11
1920-11-23,101355,89.514,0,0
1920-11-23,109923,87.529,0,8
1920-11-23,114129,136.064,0,10
1920-11-23,115461,102.369,0,2
1920-11-23,117786,88.993,0,1
1920-11-23,122723,48.745,0,3
1920-11-23,238994,88.641,0,8
1921-01-01,237688,145.992,1,10
1921-01-16,150082,121.673,0,8
1921-02-20,192601,136.156,0,1
1921-02-20,211851,71.599,0,2
1921-02-28,182812,130.002,5,0
1921-03-20,130200,167.352,0,7
1921-03-20,139507,69.873,0,0
1921-03-20,144827,69.889,0,7
1921-03-20,154240,71.978,0,11
1921-03-20,155413,70.37,0,10
1921-03-20,155987,87.417,0,5
1921-03-20,159013,76.277,0,4
1921-03-20,161520,64.678,0,5
1921-03-20,162333,99.349,0,5
1921-03-20,162907,91.581,0,11
1921-03-20,163533,65.854,0,6
1921-03-20,166280,82.858,0,11
1921-03-20,166987,75.704,0,0
1921-03-20,168053,69.958,0,5
1921-03-20,171213,63.241,0,4
1921-03-20,174827,83.11,0,6
1921-03-20,174960,135.111,0,7
1921-03-20,178347,106.511,0,11
1921-03-20,184200,130.317,0,10
1921-03-20,196507,85.405,0,4
1921-03-20,198200,134.614,0,3
1921-03-27,205072,159.935,0,7
1921-04-12,182335,91.551,0,2
1921-05-01,144005,99.983,0,6
1921-06-01,207962,140.984,0,1
1921-06-01,227991,110.004,0,8
1921-09-11,133669,79.934,0,11
1921-09-11,204957,80.073,0,4
1921-09-11,224287,119.973,0,7
1921-09-11,279171,120.0,0,0
1921-09-11,323840,121.051,0,9
1921-09-11,404062,79.997,0,1
1921-09-23,249370,107.501,0,6
1921-12-18,155633,74.301,0,2
1921-12-18,158908,142.136,0,7
1922-02-22,40000,81.944,0,10
1922-02-22,87040,79.895,0,5
1922-02-22,104400,100.031,0,7
1922-02-22,126903,104.851,6,0
1922-02-22,157333,87.921,0,1
1922-02-22,172803,99.878,0,10
1922-03-21,130987,68.567,0,5
1922-03-21,151040,82.287,0,10
1922-03-21,153533,159.669,0,2
1922-03-21,155093,99.555,0,8
1922-03-21,158573,60.422,0,9
1922-03-21,158587,127.023,0,5
1922-03-21,159800,140.216,0,6
1922-03-21,160267,181.105,0,8
1922-03-21,161080,143.105,0,3
1922-03-21,171013,122.895,0,4
1922-03-21,172800,72.51,0,1
1922-03-21,176907,169.98,0,7
1922-03-21,177773,126.702,0,8
1922-03-21,179813,121.542,0,5
1922-03-21,180253,126.614,0,1
1922-03-21,181640,130.418,0,1
1922-03-21,183720,108.65,0,5
1922-03-21,190653,72.401,0,1
1922-03-21,194200,115.51,0,8
1922-03-29,138587,58.863,0,7
1922-03-29,139760,79.871,0,8
1922-03-29,141440,69.128,0,8
1922-03-29,145627,77.642,0,0
1922-03-29,150160,106.595,0,4
1922-03-29,151027,96.58,0,1
1922-03-29,153133,76.3,0,0
1922-03-29,155253,69.409,0,2
1922-03-29,155653,75.313,0,4
1922-03-29,159800,90.969,0,7
1922-03-29,164320,71.432,0,8
1922-03-29,164653,129.602,0,3
1922-03-29,168107,74.542,0,6
1922-03-29,169853,71.524,0,1
